id,gold,pred
1061261657689735168,injured_or_dead_people,injured_or_dead_people
1064632155941347329,injured_or_dead_people,injured_or_dead_people
1063178139717787653,injured_or_dead_people,injured_or_dead_people
1065276503800324097,rescue_volunteering_or_donation_effort,other_relevant_information
1065660221110906880,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
1066980665579712512,missing_or_found_people,missing_or_found_people
1064156771755982848,injured_or_dead_people,displaced_people_and_evacuations
1066768482744721408,injured_or_dead_people,injured_or_dead_people
1065383488357048322,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
1064228323713261568,not_humanitarian,not_humanitarian
1061781601799958528,injured_or_dead_people,injured_or_dead_people
1061152568443719680,sympathy_and_support,not_humanitarian
1065033872235261952,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
1064213614226259973,missing_or_found_people,injured_or_dead_people
1064569138058792962,missing_or_found_people,missing_or_found_people
1061374958553620480,displaced_people_and_evacuations,displaced_people_and_evacuations
1064338318702374912,not_humanitarian,other_relevant_information
1062123968428003328,rescue_volunteering_or_donation_effort,not_humanitarian
1064007054044520448,injured_or_dead_people,not_humanitarian
1064525239575437313,injured_or_dead_people,injured_or_dead_people
1062080145576456197,displaced_people_and_evacuations,displaced_people_and_evacuations
1062187531603771392,injured_or_dead_people,injured_or_dead_people
1062382512259952640,infrastructure_and_utility_damage,injured_or_dead_people
1063695734573154304,injured_or_dead_people,injured_or_dead_people
1064270272809902080,displaced_people_and_evacuations,not_humanitarian
1063263564096397312,injured_or_dead_people,missing_or_found_people
1062714024473882624,not_humanitarian,not_humanitarian
1065268791171563522,injured_or_dead_people,displaced_people_and_evacuations
1064949639596535808,other_relevant_information,other_relevant_information
1064620067407712261,rescue_volunteering_or_donation_effort,missing_or_found_people
1061313716468109312,not_humanitarian,not_humanitarian
1063110012539564032,other_relevant_information,injured_or_dead_people
1066008114154094592,other_relevant_information,not_humanitarian
1065248549124878336,other_relevant_information,not_humanitarian
1063139373724643329,injured_or_dead_people,injured_or_dead_people
1064009198009311232,injured_or_dead_people,not_humanitarian
1061381308750807040,not_humanitarian,injured_or_dead_people
1064453859391692800,sympathy_and_support,rescue_volunteering_or_donation_effort
1064753548318072832,requests_or_urgent_needs,displaced_people_and_evacuations
1061171436725981184,sympathy_and_support,sympathy_and_support
1065254783320317957,not_humanitarian,not_humanitarian
1061263155895173121,not_humanitarian,not_humanitarian
1065597293162708993,other_relevant_information,displaced_people_and_evacuations
1062092202736664576,missing_or_found_people,missing_or_found_people
1065245672264232960,injured_or_dead_people,displaced_people_and_evacuations
1067554950291628033,rescue_volunteering_or_donation_effort,not_humanitarian
1062019022181539841,injured_or_dead_people,injured_or_dead_people
1061317542310899714,displaced_people_and_evacuations,displaced_people_and_evacuations
1065473139897905152,infrastructure_and_utility_damage,other_relevant_information
1064743401978019840,injured_or_dead_people,injured_or_dead_people
1066895793217400832,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage
1062071669483663361,injured_or_dead_people,injured_or_dead_people
1065019609785364480,rescue_volunteering_or_donation_effort,other_relevant_information
1065285035832590336,rescue_volunteering_or_donation_effort,not_humanitarian
1061298797601583104,not_humanitarian,injured_or_dead_people
1062120596333424640,injured_or_dead_people,injured_or_dead_people
1065585572461260801,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
1063087457753681920,injured_or_dead_people,injured_or_dead_people
1061223582544482304,infrastructure_and_utility_damage,infrastructure_and_utility_damage
1064715400145973254,other_relevant_information,not_humanitarian
1064387570296135680,not_humanitarian,not_humanitarian
1067101228201582593,not_humanitarian,not_humanitarian
1064938283489124352,other_relevant_information,not_humanitarian
1065216522975612928,caution_and_advice,not_humanitarian
1066460400219185152,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
1061306420254199808,sympathy_and_support,sympathy_and_support
1063025646077652992,injured_or_dead_people,infrastructure_and_utility_damage
1065630079349329920,not_humanitarian,displaced_people_and_evacuations
1061365728291434496,not_humanitarian,not_humanitarian
1065866575016849408,other_relevant_information,not_humanitarian
1064670482551566336,other_relevant_information,not_humanitarian
